film,no,song,singer,lyricist,composer,duration
Aavarampoo,,"""Saami Kitta Solli""","S. P. Balasubrahmanyam, S. Janaki",Gangai Amaran,,4:39
Aavathum Pennale Azhivathum Pennale,,"""Chinna Chitti""",S. P. Balasubrahmanyam,,,5:03
Aavathum Pennale Azhivathum Pennale,,"""Mavane Magarasanae""",K. S. Chithra,,,5:02
Aavathum Pennale Azhivathum Pennale,,"""Mavane Magarasanae""",Anuradha Sriram,,,5:14
Aavathum Pennale Azhivathum Pennale,,"""Nillu Nillu""",Swarnalatha,,,5:04
Aavathum Pennale Azhivathum Pennale,,"""Uyire Uyir Dheepame""",Mano,,,5:01
Aavathum Pennale Azhivathum Pennale,,"""Uyire Uyir Dheepame""",Bala Bharathi,,,5:21
Aavi Kumar,1,"""Idhayam Nagaruthe""","Santhosh, Manasi",Na. Muthukumar,Vijay Antony,
Aavi Kumar,2,"""Poo Poo Veliye Poo""",Andrea Jeremiah,,,
Aavi Kumar,3,"""Vaa Vaa Tamizh Paiyya""",Kavitha,Srikanth Deva,,
Aavi Kumar,4,"""Vaa Vaa Uyire Vaa""",Vijay Antony,Vijay Antony,,
Aayiram Jenmangal,,"""Venmegame""",S. Janaki,,,4:16
Aayiram Jenmangal,,"""Kannan Mugam Kaana""","Vani Jairam , Jayachandran",,,4:16
Aayiram Jenmangal,,"""Azhaikkindren""",S. Janaki,,,4:53
Aayiram Jenmangal,,"""Arupathu Nangu Kalaigal""",L. R. Eswari,,,4:19
Aayiram Jenmangal,,"""Naan Adatha Attamillai""",P. Susheela,,,4:19
Aayiram Jenmangal,,"""Venmegame"" Bit song",S. Janaki,,,1:07
Aayiram Kalathu Payir,,"""Pachaimalai Chaaralile""",,Kannadasan,,04:42
Aayiram Kalathu Payir,,"""Maamaa Pille Maapille Maalaiyittan""",,,,
Aayiram Kalathu Payir,,"""Katti Vaicha Poovum Vaadavillaiye""",,,,
Aayiram Kalathu Payir,,"""Thottathu Poovai Innum""",,03:57,,
Aayiram Kalathu Payir,,"""Yaarukku Naan Theengu Seythen""",,03:21,,
Aayiram Kalathu Payir,,"""Aandavane Ezhaiyin Vaazhvil""",,02:57,,
Aayiram Kalathu Payir,,"""Vattamitta Pottazhagan Kattazhagan Kandasaami""",,Chidambaram Sundaram Pillai,,
Aayiram Nilave Vaa,,"""Devathai Ilam""",S. P. Balasubrahmanyam,Vairamuthu,,
Aayiram Nilave Vaa,,"""Andharangam""",S. P. Balasubrahmanyam,Pulamaipithan,,
Aayiram Nilave Vaa,,"""Ooty Kuliru""","Malaysia Vasudevan , S. P. Sailaja",Vairamuthu,,
Aayiram Nilave Vaa,,"""Kanni Ilam""",S. Janaki,,,
Aayiram Nilave Vaa,,"""Gangai Aatril""",P. Susheela,Pulamaipithan,,
Aayiram Roobai,,"""Amma Illae Appa""",S. Janaki,Vaali,,03:25
Aayiram Roobai,,"""Aanaakka Antha Madam""",P. Susheela,A. Maruthakasi,,03:19
Aayiram Roobai,,"""Parpodi Kalnaar Parpodi""","P. B. Srinivas , P. Susheela",A. Maruthakasi,,03:52
Aayiram Roobai,,"""Paarthaalum Paarthen Naan""","P. B. Srinivas, P. Susheela",Kannadasan,,03:30
Aayiram Roobai,,"""Nilavukkum Nizhal Undu""",P. Susheela,Kannadasan,,03:27
Aayiram Vilakku,1,"""Aandipatti""",Karthik,Vairamuthu,,
Aayiram Vilakku,2,"""Enna Thavam""",K. J. Yesudas,,,
Aayiram Vilakku,3,"""Madhura Madhura""","Naveen, Velmurugan",,,
Aayiram Vilakku,4,"""Paappakku Oru Jigarthanda""","Karthik, Rita",,,
Aayiram Vilakku,5,"""Porale""",Karthik,,,
Aayiram Vilakku,6,"""Rathiye En Rathiye""","Harish Raghavendra , Chinmayi",,,
Aayiram Vilakku,7,"""Uthama Puthirane""",K. J. Yesudas,,,
Aayirathil Oruthi,,"""Kovil Nalla Kovil""",P. Susheela,Kannadasan,,
Aayirathil Oruthi,,"""Ninaithathai Mudipathu""","S. P. Balasubrahmanyam , L. R. Eswari",Vaali,,
Aayudham,,"""Aalakala Visham""",Harini,Viveka,,
Aayudham,,"""Hormone Surrakuthu""","KK , Harini",Pa. Vijay,,
Aayudham,,"""Koottaan Choru""","Anuradha Sriram , Dhina",,,
Aayudham,,"""Naan Oru Mathiri""","Febi Mani , Srimathumitha",Snehan,,
Aayudham,,"""Sarakku Sarakku""","Karthik , Srilekha Parthasarathy",,,
Abalai Anjugam,,"""Keezhe Bhoomi, Maele Vaanam""",,Udumalai Narayana Kavi,,
Abalai Anjugam,,"""Nal Vazhiye Nadandhu""",,,,
Abalai Anjugam,,"""Pirapokkum Ellaa Uyirkum""",,,,
Abalai Anjugam,,"""Ikkaraikku Akkarai Pachai""",,,,
Abalai Anjugam,,"""Thoondil Poattu Izhutha""",,,,
Abalai Anjugam,,"""Pazhikaara Ulagamadaa Idhu""",,,,
Abalai Anjugam,,"""Vennilaa Kudai Pidikka""",,Suratha & Udumalai Narayana Kavi,,
Abalai Anjugam,,"""Daaladikkum Paappaa Jaaliyaaga""",,Thanjai N. Ramaiah Dass,,
Abalai Anjugam,,"""Adichadhu Paar Onnaam Nambar""",,,,
Abalai Anjugam,,"""Ilaya Kanniyin Azhagiya""",,Kannadasan,,
Abhimanyu,,"""Pudhu Vasandhamaame Vaazhvile""",Thiruchi Loganathan & U. R. Jeevarathinam,,,
Abhimanyu,,"""Madhanaa.... Ah En Sindhai""",U. R. Jeevarathinam,,,
Abhimanyu,,"""Pudhu Malarin Azhage""",U. R. Jeevarathinam,Papanasam Sivan,,
Abhimanyu,,"""Oh Aiyamare Ammamare Vaanga""","Thiruchi Loganathan, Friend Ramasamy & K. V. Janaki",,,
Abhimanyu,,"""Paaril Pirandhenna Punniyam""",M. M. Mariappa,,,
Abhimanyu,,"""Ungal Mugaaravindham""",K. V. Janaki,Papanasam Sivan,,
Abhimanyu,,"""Arul Thazhaithongum""",M. R. Santhanalakshmi,Papanasam Sivan,,
Abhimanyu,,"""Pudhu Vasandhamaamey Vaazhvile""",Thiruchi Loganathan,,,
Abhimanyu,,"""Pudhu Vasandhamaamey Vaazhvile""",Thiruchi Loganathan & U. R. Jeevarathinam,,,
Abhimanyu,,"""Jeyame Jeyame Maname""",U. R. Jeevarathinam,,,
Abhimanyu,,"""Alva Vaayil Alva""",S. P. Balasubrahmanyam,Vairamuthu,,5:23
Abhimanyu,,"""Romeo Juliyattu""",Devie Neithiyar,Mayil,,4:45
Abhimanyu,,"""Meadam Enna""","Sabesh , Chorus",Ponniyin Selvan,,4:17
Abhimanyu,,"""Thodu Vaanamaai""",K. S. Chithra,Vaasan,,4:48
Abhimanyu,,"""Thai Unakku""",Uma Ramanan,Kalidasan,,5:18
Abhirami,,"""Aathadi Chinna Ponnu""","Minmini , Chorus",,,4:12
Abhirami,,"""Avasarama Romba""","S. P. Sailaja , Chorus",,,4:18
Abhirami,,"""Ezhai Veetil"" (female)",Vani Jairam,,,4:24
Abhirami,,"""Ezhai Veetil"" (male)",Mano,,,0:47
Abhirami,,"""Kalaikalin Thaaye""","Malaysia Vasudevan , Sakthi Shanmugam, K. S. Chithra",,,4:50
Abhirami,,"""Kanni Thamizho Kamban Kaviyo""",S. P. Balasubrahmanyam,,,3:33
Abhirami,,"""Naam Irukkom""","S. P. Sailaja, Chorus",,,2:42
Abhiyum Naanum,,"""Ore Oru Oorilae""",Kailash Kher,,,4:40
Abhiyum Naanum,,"""Pachhai Kaatre""",Sadhana Sargam,,,4:39
Abhiyum Naanum,,"""Vaa Vaa En Devadhai""",Madhu Balakrishnan,,,2:33
Abhiyum Naanum,,"""Moongil Vittu""",Madhu Balakrishnan,,,1:10
Abhiyum Naanum,,"""Azhagiya Azhagiya Kili""",S. P. Balasubrahmanyam,,,4:49
Abhiyum Naanum,,"""Chinnamma Kalyanam""",Kailash Kher,,,1:18
Abhiyum Naanum,,"""Sher Punjabi""",Rehan Khan,,,1:10
Achacho,,"""Pasanga Pavam""",Mathangi Jagdish,,,5:31
Achacho,,"""Aallipoove""","Harish Raghavendra , Prasanna",,,5:16
Achacho,,"""Eaye Eaye""",Sunitha Sarathy,,,5:32
Achacho,,"""Thottu Vidu""",Sunitha Sarathy,,,5:33
Achacho,,"""Pengal""","Unni Menon , Mahathi",,,5:17
Achacho,,"""Paathugoda""","Tippu , Mahathi",,,3:53
Achchamundu! Achchamundu!,,"""U.S.A U.S.A""","Rahul Nambiar , Anupama , Krish",Palani Bharathi,,4.18
Achchamundu! Achchamundu!,,"""Kannil Dhaagam""",S. Sowmya,Andal Priyadarshini,,3.42
Achchamundu! Achchamundu!,,"""Parvai Vali Sumandhal""",Rahul Nambiar,1.25,,
Achchamundu! Achchamundu!,,"""Theme Music""",Instrumental,-,,3.35
Adada Enna Azhagu,,"""Adada Enna Azhagu""","S. P. Balasubrahmanyam , Gopika Poornima",,,4:47
Adada Enna Azhagu,,"""Unnai Enakku""",Hariharan,,,5:05
Adada Enna Azhagu,,"""Ulaga Azhagellam""","Shankar Mahadevan , Karthik",,,4:19
Adada Enna Azhagu,,"""Kummu Kummu""","Tippu , Suchitra , Kalyani",,,5:18
Adada Enna Azhagu,,"""Deepavali""","Mano , Harish Raghavendra , Mukesh Mohamed , Kalyani, Saindhavi , Anuradha Sriram",,,5:27
Adada Enna Azhagu,,"""Nisha""",Aslam Mustafa,,,5:12
Adada Enna Azhagu,,"""Theeratha""",Mukesh Mohamed,,,5:27
Adaikalam,,"""Ada Konda Cheval Olikka""","Sujatha , Madhu Balakrishnan",,,
Adaikalam,,"""Kalyana Sundari Yaro Oru Murai""","Shankar Mahadevan , Anuradha Sriram",,,
Adaikalam,,"""Uyirae Priyathe Uravae Vilakathae""","Hariharan , Sadhana Sargam",,,
Adaikalam,,"""Vaankaiya Vaankikaiya""","Anuradha Sriram, Swarnalatha",,,
Adaikalam,,"""Villakku Ondru Anainthu Ponaal""",Hariharan,,,
Adharmam,,"""Dharmam Endru""",Ilaiyaraaja,,,
Adharmam,,"""Muthu Mani""","S. P. Balasubrahmanyam , S. Janaki",,,
Adharmam,,"""Nooru Vayasu""",Ilaiyaraaja,,,
Adharmam,,"""Oru Pakkam Oru Nyaayam""",Ilaiyaraaja,,,
Adharmam,,"""Inthiran Pole""","S. P. Balasubrahmanyam, S. Janaki",,,
Adharmam,,"""Thendral Kaatre""",Mano,,,
Adharmam,,"""Vambookara""",K. S. Chithra,,,
Adhikari,,"""Aathoram Poonthopu""","S. P. Balasubrahmanyam , K. S. Chithra",,,4:58
Adhikari,,"""Indha Raja""","S. P. Balasubrahmanyam, K. S. Chithra",,,4:17
Adhikari,,"""Naiyaandi Melam""","S. P. Balasubrahmanyam, K. S. Chithra",,,4:48
Adhikari,,"""Purushan Veetil""","Mano, Swarnalatha",,,4:45
Adhikari,,"""Veetula Yaarumilla""",Swarnalatha,,,5:05
Adhisaya Manithan,,"""Valibathin Vizhiyile (Lady)""",,,,
Adhisaya Manithan,,"""Valibathin Vizhiyile (Men)""",,,,
Adhisaya Manithan,,"""Medai Eruvean""",,,,
Adhisaya Manithan,,"""Kaalam Poga Poga""",,,,
Adhisaya Manithan,,"""Manjal Azhaikkindrathe""",,,,
Adhisaya Manithan,,"""Ulagame""",,,,
Adhisaya Manithan,,"""Avyaktho""",,,,
Adhithan Kanavu,,Madhuramaana Rusi Ullathe,T. R. Mahalingam & Soolamangalam Jayalakshmi,,,
Adhu Oru Kana Kaalam,,"""Antha Naal""","Shreya Ghoshal , Vijay Yesudas",Vaali,,
Adhu Oru Kana Kaalam,,"""Ennada Ninaichae""","Ranjith , Vijay Yesudas",Muthulingam,,
Adhu Oru Kana Kaalam,,"""Kaatu Vazhi""",Ilaiyaraaja,Ilaiyaraaja,,
Adhu Oru Kana Kaalam,,"""Killi Thattu""","Bhavatharini , Jothi",Mu. Metha,,
Adhu Oru Kana Kaalam,,"""Unnale Thookam""","Malathi , Ranjith",Na. Muthukumar,,
Adi Thadi,1,Umma Umma,"Malathy Lakshman , Manikka Vinayagam",Deva Kumar,,
Adi Thadi,2,Machanukku,"Pop Shalini , Prasanna",Kalidasan,,
Adi Thadi,3,Eppadi Samalipendi,"Sridevi, Naveen",04:50,,
Adi Thadi,4,Thagadu Thagadu,"Deva, Tippu , Ganga",Piraisoodan,,
Adi Thadi,5,Akkipachai,Anuradha Sriram,Snehan,,
Adimai Changili,,Jeeboomba Jeeboomba,Mano,Vaasan,,05:02
Adimai Changili,,Mazhai Nadathum,"Krishnaraj, Anuradha Sriram",Vaasan,,05:11
Adimai Changili,,Sultan Pettai,"Adithyan , Swarnalatha",Piraisoodan,,04:26
Adimai Changili,,Ellora Ellora,"Gopal Rao, Bharathi",Arunmozhi,,04:41
Adimai Changili,,Kaanangatha Meenu,"Deva, Anuradha Sriram",Piraisoodan,,03:50
Adimai Changili,,Oh Laali,"Gopal Rao, Swarnalatha",Kamakodiyan,,04:22
Adiyum Andamum,,"""Penne Penne""",Aalap Raju,,,
Adiyum Andamum,,"""Mayam Seidhayo""",Chinmayi,,,
Adiyum Andamum,,"""Ararirao""",Naresh Iyer,,,
Adiyum Andamum,,"""Adiyum Andamum"" (title track)",L. V. Ganeshan,,,
Adiyum Andamum,,"""Penne"" (remix)","Lv. Muthu, Kaushik",,,
Adiyum Andamum,,"""Pain Of Love"" (Instrumental)",,,,
Adutha Veettu Penn,,"""Maalaiyil Malar Solaiyil""",P. B. Sreenivas,,,03:30
Adutha Veettu Penn,,"""Mannava Vaa""",P. Susheela,,,04:30
Adutha Veettu Penn,,"""Sayonaaraa Tokyo""","P. B. Sreenivas, S. Janaki",,,03:18
Adutha Veettu Penn,,"""Katraar Niraindha Sangamidhu""",A. L. Raghavan,,,03:32
Adutha Veettu Penn,,"""Kannale Pesi Pesi Kolladhe""",P. B. Sreenivas,,,03:27
Adutha Veettu Penn,,"""Kangalum Kavi Paadudhe""","Sirkazhi Govindarajan , Thiruchi Loganathan",,,03:09
Adutha Veettu Penn,,"""Malarkodi Naane""",P. Susheela,,,03:15
Adutha Veettu Penn,,"""Kaiyyum Odala Kaalum Odala""","S. C. Krishnan, T. V. Rathnam",,,03:07
Adutha Veettu Penn,,"""Vaadaatha Pushpame.... Vanithaa Maniye""",P. B. Sreenivas,,,02:48
Adutha Veettu Penn,,"""Kanni Thamizh""",P. Susheela,,,04:02
Adutha Veettu Penn,,"""Enakkaga Neeye""","P. Susheela, P. B. Sreenivas",,,04:02
Aduthathu Albert,,'Aadidu Peyygaley',"Vani Jairam , Malaysia Vasudevan , S. Janaki , Kovai Soundararajan",Gangai Amaran,,4:58
Aduthathu Albert,,'Hey Indhira',"S. P. Sailaja , Malaysia Vasudevan",Kadhal Mathi,,4:28
Aduthathu Albert,,'Idhayame',"Malaysia Vasudevan, S. Janaki",Ponnaruvi,,4:32
Aduthathu Albert,,'Sondhangale',Malaysia Vasudevan,Vairamuthu,,4:41
Aduthathu Albert,,'Va Va Mysooru',"Ramesh, S. Janaki, Malaysia Vasudevan",Vaali,,4:27
Aethiree,,"""Podu Nanba Sakkai Podu""",Karthik,Na. Muthukumar,,4:00
Aethiree,,"""Thamizhnaatu Pennai""","Tippu , Shalini Singh",Kabilan,,4:03
Aethiree,,"""Saithane Saithane""","Shankar Mahadevan , Srilekha Parthasarathy",Pa. Vijay,,4:55
Aethiree,,"""Bottle Mani Rap""","Premji Amaran , Naveen, Chorus",Premji Amaran & Swathi,,2:09
Aethiree,,"""Mudhal Mudhalaga""",Hariharan,Victor Doss,,5:14
Aethiree,,"""Ichu Thaariyaa""","Shankar Mahadevan , Srivarthini",Pa. Vijay,,4:41
Aethiree,,"""Kadhal Vandhu""","Ranjith , Sujatha",Kalidasan,,3:40
Agaram,,"""Line Kidaichidiche""","Harish Raghavendra , Shardha",,,4:39
Agaram,,"""Unnai Naan Paarthen""","Mahalakshmi Iyer , Anoop Sankar",,,4:27
Agaram,,"""Ponnu Thottaa""","Manicka Vinayagam, Malgudi Subha",,,4:21
Agaram,,"""Adadaa Adadaa""","Harini , Anoop Sankar",,,5:24
Agaram,,"""Tappu Egirippogum""","Tippu , Pushpavanam Kuppusamy",,,4:17
Agaya Gangai,,"""Mama Mama""",S. P. Sailaja,Gangai Amaran,,04:20
Agaya Gangai,,"""Mega Deepam""",Malaysia Vasudevan,Na. Kamarasan,,04:09
Agaya Gangai,,"""Pongum Agaya Gangai""","S. Janaki , Gangai Amaran",Vairamuthu,,04:13
Agaya Gangai,,"""Then Aruviyil""","S. P. Balasubrahmanyam , S. Janaki",Mu. Metha,,04:54
Aghori,,Juzt Married,,,,
Aghori,,Oppam,,,,
Aghori,,Villain,,,,
Aghori,,Malayalam,,,,
Aghori,,Oru Caribbean Udayippu,,,,
Aghori,,Kannada,,,,
Aghori,,Aghori,,,,
Aghori,,Vidhi,,,,
Aghori,,Innale Vare,,,,
Aghori,,Anuradha Crime No.59/2019,,,,
Aghori,,"Malayalam, Tamil",,,,
Aghori,,Samadhana Pusthakam,,,,
Agni Paarvai,,"""Ethana Raathiri""","Swarnalatha , Malaysia Vasudevan",Vaali,,4:54
Agni Paarvai,,"""Ithazh Inikka""","K. S. Chithra , Mano",Kuruvikkarambai Shanmugam,,5:06
Agni Paarvai,,"""Ohm Kousalya""","Mano, K. S. Chithra",Gangai Amaran,,4:55
Agni Paarvai,,"""Paarthen Pon Manam""",S. Janaki,Vaali,,5:06
Agni Paarvai,,"""Thappu Thappu""",S. Janaki,Pulamaipithan,,4:50
Agni Sakshi,,"""Aam Bharathi Thamizhukku""",Saritha,,,
Agni Sakshi,,"""Aarambam Adhikarathin""","M. S. Viswanathan , Vani Jairam , L. R. Eswari",,,
Agni Sakshi,,"""Adiye Kannamma""",P. Susheela,,,
Agni Sakshi,,"""Kana Kaanum""","S. P. Balasubrahmanyam , Saritha",,,
Agni Sakshi,,"""Unnai Enakku""",S. P. Balasubrahmanyam,,,
Agni Sakshi,,"""Vanakkam Mudhal""","S. P. Balasubrahmanyam, P. Susheela",,,
Aindhu Laksham,,"""Kaadhalukkoru Kaalej""",,Trichy Thiyagarajan,,
Aindhu Laksham,,"""Naan Paadiya Mudhal Paattu""",,Vaali,,
Aindhu Laksham,,"""Padaithan Boomiyai Iraivan""",,Kannadasan,,
Aindhu Laksham,,"""Asaipattadhu Naanalla""",,Vaali,,
Aindhu Laksham,,"""Naalaikku Neramillai""",,Kannadasan,,
Aindhu Laksham,,"""Eppadi Irukkum, Ennenna Seyyum""",,Avinasi Mani,,
Ainthaam Padai,,"""Orampo""","Ranjith , M. L. R. Karthikeyan, Arjith",Gangai Amaran,,
Ainthaam Padai,,"""Aaradi Rakshasano""","Shreya Ghoshal , Shail Hada , Kumar Sanu",Na. Muthukumar,,
Ainthaam Padai,,"""Sokku Sundar""",Sonu Kakkar,,,
Ainthaam Padai,,"""Vaadi En""",Devan,,,
Ainthaam Padai,,"""Chinna Kolunthanare""",Sadhana Sargam,,,
Airport,,Naujawan,,,,
Airport,,Andha Naal,,,,
Airport,,Pather Panchali,,,,
Airport,,Aparajito,,,,
Airport,,Kanoon,,,,
Airport,,Unnaipol Oruvan,,,,
Airport,,Ittefaq,,,,
Airport,,Seemabaddha,,,,
Airport,,Abachurina Post Office,,,,
Airport,,Agraharathil Kazhutai,,,,
Airport,,Kodiyettam,,,,
Airport,,Pasi,,,,
Airport,,Albert Pinto Ko Gussa Kyoon Aata Hai,,,,
Airport,,Plot No. 5,,,,
Airport,,Elippathayam,,,,
Airport,,Jaane Bhi Do Yaaro,,,,
Airport,,Accident,,,,
Airport,,Ek Ruka Hua Faisla,,,,
Airport,,Kadamai Kanniyam Kattupaadu,,,,
Airport,,,,,,
Airport,,Malayalam,,,,
Airport,,Tamil,,,,
Airport,,Veedu,,,,
Airport,,Telugu,,,,
Airport,,Hindi,,,,
Airport,,Tarka,,,,
Airport,,Oru Veedu Iru Vaasal,,,,
Airport,,Kannada,,,,
Airport,,Marupakkam,,,,
Airport,,Kubi Matthu Iyala,,,,
Airport,,Hindi / Telugu,,,,
Airport,,Nishkarsha,,,,
Airport,,Vidheyan,,,,
Airport,,Kuruthipunal,,,,
Airport,,Police Story,,,,
Airport,,Chupp,,,,
Airport,,Hyderabad Blues,,,,
Airport,,Pathram,,,,
Airport,,Dollar Dreams,,,,
Airport,,9 Nelalu,,,,
Airport,,Marma,,,,
Airport,,3 Deewarein,,,,
Airport,,Bengali,,,,
Airport,,Ab Tak Chhappan,,,,
Airport,,Sins,,,,
Airport,,Nandanavanam 120km,,,,
Airport,,Frozen,,,,
Airport,,English,,,,
Airport,,Ashoka,,,,
Airport,,Bhagavan,,,,
Airport,,Marathi,,,,
Airport,,Aaranya Kaandam,,,,
Airport,,Nadunisi Naaygal,,,,
Airport,,Tamil / Telugu,,,,
Airport,,Bhoot Returns,,,,
Airport,,Apur Panchali,,,,
Airport,,Hindi / English,,,,
Airport,,Agadam,,,,
Airport,,Marathi / Hindi / Gujarati / English,,,,
Airport,,Aligarh,,,,
Airport,,U Turn,,,,
Airport,,Malayalam / Hindi / English,,,,
Airport,,Chennaiyil Oru Naal 2,,,,
Airport,,Telugu / Hindi,,,,
Airport,,Naachiyaar,,,,
Airport,,Hindi / Tamil,,,,
Airport,,Sound,,,,
Airport,,Mardaani 2,,,,
Airport,,English / Hindi,,,,
Airport,,London Confidential,,,,
Airport,,Irul,,,,
Airport,,Naan Mirugamaai Maara,,,,
Airport,,Por Thozhil,,,,
Akka,,"""Eppadi Vaazhndhanaro""",Vani Jairam,,,
Akka,,"""Kannan Koil Paravai Idhu""",Vani Jairam,,,
Akka,,"""Vennilave""",Vani Jairam,,,
Akka,,"""Malai Malar Pandhalitta Megam""","S. P. Balasubrahmanyam , Vani Jairam",,,
Akka Thangai,,"""Kuruvikala Ullasa""","T. M. Soundararajan , P. Susheela",A. Maruthakasi,,02:27
Akka Thangai,,"""Aaduvathu Vetri Mayil""","T. M. Soundararajan , P. Susheela",Kannadasan,,03:29
Akka Thangai,,"""Maruvathu Society""",L. R. Eswari,03:21,,
Akka Thangai,,"""Paattodu Raagam Inge""",Seerkazhi Govindarajan,03:24,,
Alai,,"""Alai Adikuthu""",Shankar Mahadevan,Kabilan,,
Alai,,"""En Ragasiya Kanavukal""","Karthik , Srivarthini",Thamarai,,
Alai,,"""Nee Oru Desam""","Sujatha Mohan , KK",Yugabharathi,,
Alai,,"""Paiya Paiya""","Mathangi, Tippu",Arivumathi,,
Alai,,"""Solakattu Bommai""","Devan , Pop Shalini",Pa. Vijay,,
Alai,,"""Thinga Kizhamaiyaana""","Timmy, Karthik",Pa. Vijay,,
Alai Osai,,"""Kanindhu Varum""",S. Janaki,Kamakodian,,
Alai Osai,,"""Kuppama Petha""",S. Janaki & Chorus,Gangai Amaran,,
Alai Osai,,"""Parkathathum""","Malaysia Vasudevan , Krishnachander & Saibaba",,,
Alai Osai,,"""Neeya Azhaithathu""",S. P. Balasubrahmanyam & S. Janaki,Vairamuthu,,
Alai Osai,,"""Poradada""",Malaysia Vasudevan & Chorus,Ilayabharathi,,
Alai Osai,,"""Roja Thottam""",S. Janaki,Muthulingam,,
Alaiyadikkuthu,1,Chee Chee Poda,"Mahathi , Harish Raghavendra",Ilayakamban,,
Alaiyadikkuthu,2,Machi Machi,"Tippu , Mahathi",,,
Alaiyadikkuthu,3,Mela Paaru,"Karthik , Grace Karunas",,,
Alaiyadikkuthu,4,Mercury Baby,Srimathumitha,Pa. Vijay,,
Alaiyadikkuthu,5,Vaada Machan,"Krishnaraj, Anuradha Sriram",Victor Dass,,
Alexander,,"""Alexander""","Bhavatharini , Anupama , Mahanadhi Shobana , Yuvan Shankar Raja , S. P. B. Charan",Vaali,,3:36
Alexander,,"""Koothadichu""","Venkat Prabhu , Karthik Raja, Burns",Paarthi Bhaskar,,5:25
Alexander,,"""Nadhiyoram""","P. Unnikrishnan , Bhavatharini",4:52,,
Alexander,,"""Rajarajan Nane""","Sujatha , Mano",Panchu Arunachalam,,4:40
Alexander,,"""Thaathi Thaathi""","Malaysia Vasudevan , Anupama, Mahanadhi Shobana",Vaali,,4:44
Alli Arjuna,,"""Sollayo Solaikilli""",,Vairamuthu,,
Alli Arjuna,,"""Shingu Lingu (Roja Solladi)""",,Vairamuthu,,
Alli Arjuna,,"""Onne Onne""",,Arivumathi,,
Alli Arjuna,,"""Osaka Morayaa""",,Vairamuthu,,
Alli Arjuna,,"""Endhan Nenjil""",,Vairamuthu,,
Alli Petra Pillai,,"""Asai Atthaan Kai Pidikka""",,,,03:47
Alli Petra Pillai,,"""Arivirukkum.... Idhu Theriyum""",,,,03:01
Alli Petra Pillai,,"""Ammaa Appaa Yenru""",,,,01:17
Alli Petra Pillai,,"""Summa Summa Sirichukittu""",,,,03:16
Alli Petra Pillai,,"""Kaatthiruken Veliyoram""",,,,03:16
Alli Petra Pillai,,"""Paisaavai Pottu Naisaaga Vaangi""",,,,02:35
Alli Petra Pillai,,"""Ejaman Petra Selvame""",,,,03:01
Alli Petra Pillai,,"""Nalla Naalu Romba Nalla Naalu""",,,,03:15
Alli Petra Pillai,,"""Onnum Onnum Serndhaakka""",,,,02:55
Alli Petra Pillai,,"""Idhukku Adhu Thevala""",,,,03:12
Amaidhi Padai,,"""Sollividu Velli Nilave""",,Vaali,,
Amaidhi Padai,,"""Enakku Unnai Ninaicha""",,Pulamaipithan,,
Amaidhi Padai,,"""Ada Naan Aatchu""",,Pulamaipithan,,
Amaidhi Padai,,"""Muthumani Ther Irukku""",,Vaali,,
Amaidhi Padai,,"""Vetri Varuthu""",,Ponnadiyan,,
Amaidhi Padai,,"""Amma Thaaye""",,,,
Amara Deepam,,"""Nanaayam Manushanukku""",T. M. Soundararajan,K. S. Gopalakrishnan,,02:43
Amara Deepam,,"""Jalilo Jimkana""",Jikki,Thanjai N. Ramaiah Dass,,03:51
Amara Deepam,,"""Thenunnum Vandu Maamalarai Kandu""",A. M. Rajah & P. Susheela,K. P. Kamatchi Sundharam,,03:34
Amara Deepam,,"""Ellorum Koodi Aadi Paadi""",Jikki,M. K. Aathmanathan,,03:56
Amara Deepam,,"""Nadodikkottam Nannga Thiillelelo""","T. M. Soundararajan, A. P. Komala , Sirkazhi Govindarajan & T. V. Rathnam",Udumalai Narayana Kavi,,05:41
Amara Deepam,,"""Pachchai Kilipaadudhu""",Jikki,A. Maruthakasi,,03:13
Amara Deepam,,"""Kondaikatti Kaavikatti""",S. C. Krishnan & A. P. Komala,K. S. Gopalakrishnan,,03:37
Amara Deepam,,"""Thumbam Soozhum Neram""",Jikki,K. S. Gopalakrishnan,,02:11
Amara Deepam,,"""Enge Maraindhanayo""",M. L. Vasanthakumari,K. S. Gopalakrishnan,,03:09
Amara Kaaviyam,,"""Selvame Ore Murai""",S. P. Sailaja,,,
Amara Kaaviyam,,"""Selvame Ore Murai""",T. M. Soundararajan,,,
Amara Kaaviyam,,"""Idhayam Pesinal""",Vani Jairam,,,
Amara Kaaviyam,,"""Than Vanathai Theduthu Oru Nilavu""","S. Janaki , S. P. Balasubrahmanyam",,,
Amara Kaaviyam,,"""Kadhal Andha Moondrezhuthu Inikkum""","S. Janaki , S. P. Balasubrahmanyam , L. R. Eswari",,,
Amara Kaaviyam,,"""Vaaya Raja""",P. Susheela,,,
Amarakavi,,"""Annai Thandhai Anbariyaadha""",,Papanasam Sivan,,02:22
Amarakavi,,"""Onru Serndhu Paadupattal...Sevai Seythaale""",,03:48,,
Amarakavi,,"""Uyirkalellam Inbamaayi""",,02:34,,
Amarakavi,,"""Thaazh Panindhu Avar Ullam""",,,,
Amarakavi,,"""Pudhiya Vaazhvu Peruvom""",,02:16,,
Amarakavi,,"""Vaan Mazhai Pole""",,04:16,,
Amarakavi,,"""Vinn Pola Neela Niram""",,,,
